Bot Transcription,Recording URL
i dont know anything on credit card,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637001917.57886-in_2.wav
what it why you call,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637001917.57886-in_3.wav
youre buying forgetting my rackento basal,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637010845.89516-in_4.wav
you war revived to arrive for las but going water fir bu t an i the polish,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637010845.89516-in_10.wav
my marriage you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637010845.89516-in_17.wav
years ago i told te also also e,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1637010845.89516-in_19.wav
you have to,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635781003.16237-in_1.wav
yes what is it in regard to,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635871332.35837-in_2.wav
ye polk of  aint got no got down credit card kitty black ass yea it i l get h kiss me in the crack of my black had thats what i want you to do have a good day,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635457984.495-in_3.wav
anaemia,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636654315.180762-in_0.wav
wit beginner,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636654315.180762-in_1.wav
me not speaking english im sorry,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636654315.180762-in_2.wav
hm you lust pick a spanish,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636654315.180762-in_3.wav
im sorry me not speak english,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636654315.180762-in_4.wav
ill grow back to shirt,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_0.wav
youre speaking to a chart,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_1.wav
im saying this is a chart,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_3.wav
do you understand the his to the shepherd,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_4.wav
do you understand youre talking to a chart,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_5.wav
this is a church,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_7.wav
im holding because i couldnt talk to the recording you have reached a church can you take it off the lift,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_8.wav
just understand this is a church number you call please remove it from your lip,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636831899.194314-in_9.wav
about it,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI13-1635878023.4759-in_0.wav
what that really poll em what that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI13-1635878023.4759-in_2.wav
not i aint got no debt get back,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636044592.22305-in_2.wav
i have no debt i have no debt james patrol,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635004665.13097-in_1.wav
no i dont i have company good bye,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635892363.8-in_1.wav
yes your daddys a limp your mammas a hole,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635605040.5637-in_3.wav
are you calling from china,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636732584.103482-in_5.wav
really off you,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636497384.38897-in_1.wav
okay i dont get a handled credit,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635615662.62800-in_3.wav
you won,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635615662.62800-in_5.wav
e be like on that,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636142743.24650-in_0.wav
no problem,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636815767.78062-in_3.wav
of all,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636815767.78062-in_6.wav
so far so good,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636815767.78062-in_7.wav
oh about five hundred dollars,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636815767.78062-in_9.wav
oh why dont you call the dat rely from and tell hem iam still alive,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635620662.182898-in_1.wav
you cock,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636826817.310746-in_0.wav
oo hello yeah really,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635548662.84183-in_0.wav
i aint in detain,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636830612.191414-in_1.wav
no iam good,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636830612.191414-in_2.wav
by my name is jane,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636568801.19071-in_1.wav
no i dont right now,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636568801.19071-in_2.wav
im on my way to work,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636568801.19071-in_3.wav
sure speak ut,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636401873.66313-in_2.wav
i dont been know what the hell youre talking about,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636401873.66313-in_3.wav
