sno,recoding_url,user,human_transcribe,nemo_transcribe,deepgram_transcribe,Nemo,Deepgram
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635624616.94984-in_1.wav,m.aqib,Nope I dont have a debt legal,not i dont have no debt o either,Nope I dont have a debt legal,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636054066.20484-in_3.wav,m.aqib, about twenty thousand dollars about twenty thousand,of about twenty thousand dollars about twenty thousand,all about twenty thousand dollars About twenty thousand,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636132109.15051-in_2.wav,m.aqib, cause of you ,cause,because if you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636043242.137604-in_1.wav,m.aqib, i am sorry i go,im sorry i go,Im sorry I dont,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1635890831.3066-in_11.wav,m.aqib, I dont have any credit card debt roy,i dont have any credit card went do,I dont have a credit card dad,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636649967.162930-in_0.wav,m.aqib, may i help you ,i help you,May i you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636749097.257243-in_2.wav,m.aqib, no thank you,h no thank you,No Thank you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI11-1634935067.2902-in_6.wav,m.aqib, profitable  sharp,th profitable is sharp,couple of,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1636132691.16966-in_2.wav,m.aqib, speak yeah ,we yeah,street Yeah,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635607582.15632-in_0.wav,m.aqib, what do you want?,but you want,what you wont,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI13-1635203210.29040-in_22.wav,m.aqib,a bit of the,a bit of tit,this is,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1635965524.133347-in_11.wav,m.aqib,a bout you on i wont get my hope bill first,a bout you on i wont get my hope bill first,I thought you owed I wanna get my hospital bill for,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636491535.12289-in_0.wav,m.aqib,a call you back as soon as i can,a cal you back as soon as i can,call you back as soon as I can,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI5-1635786823.18101-in_3.wav,m.aqib,a debt free well you know what you can do without debt,a dead free well you knowwhat you can do without debt,Like debt free Well you know what you can do with your debt,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636399552.97938-in_0.wav,m.aqib,a dicket ,ay dichead,a dick,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636643501.11498-in_17.wav,m.aqib,a few,a few,a few,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635199894.27821-in_4.wav,m.aqib,a flirty follow,a forty follow,ready Oh,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636469915.4046-in_1.wav,m.aqib,a fucker,a foci,Oh fuck,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636576600.26024-in_1.wav,m.aqib,a jame ten i give been waiting on your call but jane did you get my letter i jame gay in women de dan jane den do ye member talking to me jame a all right james oky i got to go then okay thanks for calling change,a jaw ten i give been waiting on your call but jane did you get my letter i dan sa de gay in women de dan jane den do ye member talking to me jane a all right james sky i got to go then okay thanks for calling change,Geez Ive been waiting on no call Thats it Did you get my letter Hi james Wait hold on Thats saying same You maam im talking to me Hey Alright James Okay I gotta go then Okay Thanks for calling James,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636672242.212412-in_1.wav,m.aqib,a minute no okay,a minute no okay,Minute No Okay,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636049089.70859-in_5.wav,m.aqib,a month not a cross,a month not a cross,a month would a cost,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635523349.60470-in_7.wav,m.aqib,a my credit card interest is a zeropercent,a my credit card interest is a oil percent,My credit card interest is,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636557262.18248-in_7.wav,m.aqib,a sirin went end yon english ,a sirin went end yon in,Sorry end not,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635884710.1256-in_7.wav,m.aqib,a three thousand dollars,a three thousand dollars,three thousand dollars,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636990468.46436-in_11.wav,m.aqib,a twelve thousand  none of these animal park nine thousand  mile badecar,a twelve fallen on of these animal park nine thousand  mile badecar,Twelve thousand no no and Mastercard Nine thousand no Visa card,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635019669.41310-in_8.wav,m.aqib,a well not really,a well not really,Whale not really,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636386211.25926-in_4.wav,m.aqib,a yellow man in like a live person,a yellow man in like a live person,You know Im like a live person is,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636568367.77656-in_1.wav,m.aqib,aa just a moment,up just a moment,Just a moment,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1635196261.12118-in_1.wav,m.aqib,aa no,up now,under your ride And now,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI3-1636498878.30935-in_1.wav,m.aqib,aam i am in the lawyers of this right now,an im en the lawyers of this right now,And then my lawyers right now,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635974954.89869-in_12.wav,m.aqib,about eight,about eight,About eight,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636126077.5224-in_20.wav,m.aqib,about eight thousand dollars about eight thousand dollars,about eight thousand dollars bout eight thousand dollars,about eight thousand dollars aint about eight thousand dollars,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636655109.15777-in_3.wav,m.aqib,about forty about fourteen thousand,about forty about fourteen thousand,about four about fourteen thousand,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636655109.15777-in_4.wav,m.aqib,about fourteen thousand,about fourteen should,Fourteen thousand,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635608389.150330-in_6.wav,m.aqib,about ten dollars,about ten dollars,about ten dollars,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637007591.62928-in_17.wav,m.aqib,about thirteen thousand,about thirteen thousand,about thirteen thousand Just one,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636151426.6424-in_3.wav,m.aqib,about thirty thousand,about thirty thousand,About thirty thousand,TRUE,TRUE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI2-1635539717.107134-in_25.wav,m.aqib,about twenty two,about twenty two,twelve twenty,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636732676.110463-in_1.wav,m.aqib,about what that is about,bout what that his about,But What that is about,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636557781.20239-in_6.wav,m.aqib,abraham washington washington  million dollars yes,abraham washingtingangone million dollarsyes,Hey abraham Washington K Yes Thirteen One million dollars Yes,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636040170.51756-in_3.wav,m.aqib,absolutely not we have dont call any,absolutely not we have oo any,Absolutely Not We have both and,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636759413.288633-in_5.wav,m.aqib,absolutely yes yes yes yes yes please tell me more,absolutely yes yes yes yes yes please tell me more,Absolutely Yes Yes Yes Yes Yes Please Tell,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636651798.171756-in_1.wav,m.aqib,abu,i be,0,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636672195.212189-in_0.wav,m.aqib,after debt,afternoon,afternoon,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1636394643.74256-in_0.wav,m.aqib,after the date thank you,after the late thank you,After the beep Thank you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1634942421.64377-in_0.wav,m.aqib,again thank you for your call memory full,again thank you for your call memory,again Thank you for your call Memory four,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635538940.107149-in_0.wav,m.aqib,agricultural library on may thirty first two thousand eighteen for assistants least call the national agricultural libraries water and agriculture information center at three zero one five zero four six zero seven seven thanks,agricultural library on may thirty first two thousand eighteen for assistants least call the national agricultural libraries water and agricul information center at three zero one five zero four six zero seven seven tanks,were call library on May thirty first two thousand eighteen For assistance Please call the National Agricultural libraries Water and egg information center at three zero one five zero four six zero seven seven Thanks,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI6-1635019669.41310-in_89.wav,m.aqib,ah ah what do you need,oh what d you need,What do you need,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636828747.28004-in_13.wav,m.aqib,ah ha I have nine thousand,uhhuh i have nine thousand,Uhhuh I have nine thousand,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636062509.261242-in_6.wav,m.aqib,ah have you give me a chance to answer home three thousand,ah have you give me a chance to answer home three thousand,I have to give me a chance to answer answer Three thousand,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1635622014.93776-in_2.wav,m.aqib,ah i dont have any debt right now so,ah i dont have any debt right now so,I didnt have any debt right now why you Okay,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI5-1635885739.5208-in_3.wav,m.aqib,ah i dont think so,ah i dont think so,I dont think so,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1635965590.10850-in_0.wav,m.aqib,ah i guess i dont know,ah i guess i dont know,I guess I dont know,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1635525910.44301-in_3.wav,m.aqib,ah i have caught i have had i have not paid a penny of interest in over a decade so why dont you put me on your do not calling list  and quit wasting my time and your,ah i have caught i have had i have not paid a penny of interest in over a decade so why dont you put me on your do not calling and quit wasting my time and your,I have I have had i have not paid a penny of interest in over a decade So why dont you put me on your do not call list And quit wasting my time and yours,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636990468.46436-in_13.wav,m.aqib,ah i really dont know,ah i really dont know,I i dont know,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1637006324.84981-in_1.wav,m.aqib,ah i sure enough do himself what part south all from,ah i sure enough do hum child what part south all from,I had shown enough due on child What part south yall from,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1636557262.18248-in_2.wav,m.aqib,ah i thought it  in speaking english you  not talk   spanish,ah i thought iota minpekinglis ou not take a pain,I I ordered it Im sorry Mean spanish,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635539350.108737-in_1.wav,m.aqib,ah my name is james,ah my name is will,My name is,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636998568.73995-in_1.wav,m.aqib,ah no james i thank you have called several times and im just not interested thank you,ah no james i thank you have called several times ana im just not interested thank you,No change I thank you Ive called several times and Im just not interested Thank you,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636995291.64689-in_2.wav,m.aqib,ah no not at this time thank you,ah no not at this time thank you,No Not at this time Thank you,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636996456.335480-in_7.wav,m.aqib,ah not exactly i think you have repeat,ah not exactly i think youre a iv repeat,Not exactly I think your was,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635457531.10167-in_1.wav,m.aqib,ah not really because my balls are itchy unless we can help with that,h not really because my balls are itchy unless we can help with that,Not really Because my balls are itchy unless you could help with that,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636990468.46436-in_19.wav,m.aqib,ah six months of twenty twenty three,ah six months of twenty twenty three,Six months of twenty twenty three,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1636475488.2894-in_5.wav,m.aqib,ah so im already handled it with another company you dont understand,ah so im already handled it with another company you dont understand,So Ive already already handled a little another company You dont understand,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1635447060.23910-in_1.wav,m.aqib,ah sorry the soul credit cards are really not interested,ah sorry the soul credit cards are really not interested,Sorry A about credit cards Im really not interested,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636990468.46436-in_12.wav,m.aqib,ah twelve thousand dollars,ah twelve thousand dollars,Twelve thousand dollar,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI7-1636990468.46436-in_10.wav,m.aqib,ah two two,ah two two,Two two,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI8-1636041678.60169-in_4.wav,m.aqib,ah whats going on you got the two of men trying to talk to hem a her slay louis how  you doing to day,a whats going on you got the two of men trying to talk to hem a her slay louis how  you doing to day,And whats going on You got ten two Im i trying to talk to him the last How you doing today,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI9-1637007833.63473-in_0.wav,m.aqib,ah whos calling,ah whos calling,Whos calling,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636576767.29804-in_1.wav,m.aqib,ah yeah i was wondering if you need to surprise as your personal behavior,ah yeah i was wondering if you need to surprise as your personal behavior,Yeah I was wondering if you need the prices the purple,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI11-1635872455.11133-in_1.wav,m.aqib,ah yeah moment but i dont have debt,ah yea moment but i have no get,Yeah A moment But I have no debt,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI12-1636057128.5297-in_3.wav,m.aqib,ah yeah so stop call stop,a so stop hall stop,Hey asshole Stop paul stop,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI20-1636042684.17858-in_0.wav,m.aqib,ah you called me i didnt call you,ah you called me i didnt call you,You called me I didnt call you,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636751129.140381-in_1.wav,m.aqib,ah you got a moment to listen i am in no debt and i have a five million dollar work,ah you got a moment to listen i am in no debt and i have a five million dollar work,You got a moment or listen I am in no debt I have a five million dollar work,TRUE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI4-1636835870.208107-in_14.wav,m.aqib,ah you know what here one moment here as you know like he guy that screened stick my fingers in your back hole,ah you know what here one moment here as you know like he guy that screened stick my fingers in your but hale,You know what here One moment here As you know what the guy thats screaming me Me say you me Let me stick my fingers in your butt,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI13-1635884010.10934-in_1.wav,m.aqib,ahh nope  because I dont have debt,i no cause i dont have that,No Because I dont have that,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI10-1635531759.94762-in_5.wav,m.aqib,ahh sure why not,h sure why not,Sure Why not,FALSE,FALSE
1,http://192.168.88.254/transcription_wav/transcription_wav/transcription_csvARI1-1636996456.335480-in_32.wav,m.aqib,all i am calling from through recording any old time will do ,ollacaming fan flew recording any old time will do,I having friends with recordings Any old time will be,FALSE,FALSE
